AQG,天柱山机场,安庆
JUH,九华山机场,池州
FUG,西关机场,阜阳
HFE,新桥国际机场,合肥
TXN,屯溪机场,黄山
NAY,南苑机场,北京
PEK,首都国际机场,北京
FOC,长乐国际机场,福州
JJN,晋江机场,晋江
LCX,连城机场,连城
WUS,武夷山机场,武夷山
XMN,高崎国际机场,厦门
CHW,酒泉机场,酒泉
DNH,敦煌机场,敦煌
IQN,西峰镇机场,庆阳
JGN,嘉峪关机场,嘉峪关
LHW,中川机场,兰州
CAN,白云国际机场,广州
FUO,沙堤机场,佛山
MXZ,梅县机场,梅县
SWA,揭阳潮汕机场,揭阳/汕头
SZX,宝安国际机场,深圳
ZHA,湛江机场,湛江
ZUH,三灶机场,珠海
BHY,福城机场,北海
KWL,两江国际机场,桂林
LZH,白莲机场,柳州
NNG,吴圩机场,南宁
WUZ,长洲岛机场,梧州
ACX,兴义机场,兴义
AEB,田阳机场,百色
KWE,龙洞堡机场,贵阳
TEN,大兴机场,铜仁
ZYI,遵义机场,遵义
HZH,黎平机场,黎平
AVA,黄果树机场,安顺
HAK,美兰国际机场,海口
SYX,凤凰国际机场,三亚
HDG,邯郸机场,邯郸
SHP,山海关机场,秦皇岛
SJW,正定机场,石家庄
AYN,安阳机场,安阳
CGO,新郑国际机场,郑州
LYA,北郊机场,洛阳
NNY,姜营机场,南阳
DQA,萨尔图机场,大庆
HEK,黑河机场,黑河
HRB,太平国际机场,哈尔滨
JMU,东郊机场,佳木斯
MDG,海浪机场,牡丹江
NDG,三家子机场,齐齐哈尔
ENH,许家坪机场,恩施
WUH,天河国际机场,武汉
XFN,刘集机场,襄樊
YIH,三峡机场,宜昌
CGD,桃花源机场,常德
csx,黄花国际机场,长沙
DYG,荷花机场,张家界
HJJ,芷江机场,芷江
LLF,零陵机场,永州
CGQ,龙嘉国际机场,长春
JIL,二台子机场,吉林
TNH,通化机场,通化
CZX,奔牛机场,常州
LYG,白塔埠机场,连云港
NKG,禄口国际机场,南京
NTG,兴东机场,南通
WUX,无锡机场,无锡
XUZ,观音机场,徐州
YTY,扬州泰州机场,扬州泰州
YNZ,南洋机场,盐城
SZV,光福机场,苏州
JDZ,罗家机场,景德镇
JGS,井冈山机场,井冈山
JIU,庐山机场,九江
KHN,昌北机场,南昌
KOW,黄金机场,赣州
AOG,腾鳌机场,鞍山
CHG,朝阳机场,朝阳
CNI,大长山岛机场,长海
DDG,浪头机场,丹东
DLC,周水子国际机场,大连
JNZ,小岭子机场,锦州
SHE,桃仙国际机场,沈阳
YNJ,朝阳川机场,延吉
BAV,海兰泡机场,包头
CIF,土城子机场,赤峰
DSN,鄂尔多斯机场,鄂尔多斯
HET,白塔国际机场,呼和浩特
HLD,东山机场,海拉尔
HLH,乌兰浩特机场,乌兰浩特
NZH,西郊机场,满洲里
TGO,通辽机场,通辽
WUA,乌海机场,乌海
XIL,锡林浩特,锡林浩特
INC,河东机场,银川
GOQ,格尔木机场,格尔木
XNN,曹家堡机场,西宁
DOY,永安机场,东营
JNG,曲阜机场,济宁
TAO,流亭国际机场,青岛
TNA,遥墙国际机场,济南
WEF,文登机场,潍坊
WEH,大水泊机场,威海
YNT,莱山机场,烟台
CIH,王村机场,长治
DAT,怀仁机场,大同
LYI,临沂机场,临沂
TYN,武宿机场,太原
YCU,关公机场,运城
AKA,五里铺机场,安康
ENY,二十里铺机场,延安
HZG,西关机场,汉中
UYN,西沙机场,榆林
XIY,咸阳国际机场,西安
PVG,浦东国际机场,上海
SHA,虹桥国际机场,上海
CTU,双流国际机场,成都
DAX,河市霸机场,达县
GNY,广元机场,广元
JZH,黄龙机场,九寨沟
LZO,萱田机场,泸州
MIG,南郊机场,绵阳
NAO,都尉坝机场,南充
PZI,攀枝花机场,攀枝花
WXN,万县机场,万州
XIC,青山机场,西昌
YBP,菜坝机场,宜宾
TSN,滨海国际机场,天津
BPX,昌都马草机场,昌都
LXA,贡嘎机场,拉萨
AKU,温宿机场,阿克苏
FYN,可可托托海机场,富蕴
HMI,哈密机场,哈密
HTN,和田机场,和田
IQM,且末机场,且末
KCA,库车机场,库车
KHG,喀什机场,喀什
KRL,库尔勒机场,库尔勒
KRY,克拉玛依机场,克拉玛依
TCG,塔城机场,塔城
URC,地窝堡国际机场,乌鲁木齐
YIN,伊宁机场,伊宁
BSD,保山机场,保山
DIG,迪庆机场,迪庆香格里拉
DLU,大理机场,大理
JHG,景洪机场,西双版纳
LJG,丽江机场,丽江
LNJ,临沧机场,临沧
LUM,芒市机场,德宏芒市
SYM,思茅机场,思茅
ZAT,昭通机场,昭通
HGH,萧山国际机场,杭州
HSN,普陀山机场,舟山
HYN,路桥机场,台州/黄岩
JUZ,衢州机场,衢州
NGB,栎社机场,宁波
WNZ,永强机场,温州
YIW,义乌机场,义乌
CKG,江北国际机场,重庆
HKG,香港国际机场,香港
MFM,澳门国际机场,澳门
KMG,长水国际机场,昆明
